listing_id,cutoff_date,dataset_version,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,has_reviews_before_cutoff
1138466700112295591,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,2.0,2.0,1.0,400.0,3,10,False,True,23,4,4,584.75,1018.0,234,0,0.0,3.0,10.0,0,0.0,3.0,10.0,30,0,0.0,1,1
1138497323308629784,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Centrum-West,2,1.0,,1.0,,2,365,True,True,3,55,55,252.76363636363635,993.0,101,62,0.6813186813186813,2.0,1125.0,28,0.9333333333333333,2.0,1125.0,30,30,1.0,0,1
1138851373840967430,2025-12-10,v1_student,Entire home/apt,Entire townhouse,Slotervaart,4,3.0,,2.0,,3,21,True,False,1,6,6,138.66666666666666,306.0,128,0,0.0,3.0,21.0,0,0.0,3.0,21.0,30,0,0.0,1,1
1138901950523661637,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,2,1.0,1.0,1.0,199.0,5,21,False,True,1,9,9,333.3333333333333,681.0,190,18,0.1978021978021978,5.0,21.0,0,0.0,5.0,21.0,30,0,0.0,1,1
1138917876542558446,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,4,1.0,2.0,1.0,238.0,1,365,False,True,1,105,105,182.75238095238095,1011.0,106,56,0.6153846153846154,1.0,365.0,30,1.0,1.0,365.0,30,30,1.0,0,1
1139031853878235254,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,2,1.0,1.0,1.0,152.0,3,16,False,False,1,3,3,339.0,495.0,94,7,0.07692307692307693,2.978021978021978,16.0,5,0.16666666666666666,3.0,16.0,30,0,0.0,1,1
1139080056768056269,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,1.0,1.0,216.0,3,30,False,False,1,9,9,265.1111111111111,535.0,91,69,0.7582417582417582,2.978021978021978,30.0,30,1.0,3.0,30.0,30,21,0.7,0,1
1139193030870751399,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Westerpark,4,2.0,,1.5,,364,365,False,,5,12,12,223.83333333333334,501.0,92,0,0.0,364.0,365.0,0,0.0,364.0,365.0,30,0,0.0,1,1
1139235511650661310,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Bos en Lommer,2,1.0,,1.0,,2,21,False,False,1,2,2,84.0,159.0,416,0,0.0,2.0,21.0,0,0.0,2.0,21.0,30,0,0.0,1,1
1139666388721574388,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-Oost,2,1.0,1.0,1.5,338.0,1,100,False,False,1,7,7,520.1428571428571,1034.0,212,63,0.6923076923076923,1.0,100.0,30,1.0,1.0,100.0,30,30,1.0,0,1
1139681931382594721,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,1.0,1.5,143.0,2,30,False,False,1,5,5,389.0,811.0,193,32,0.3516483516483517,2.0,30.0,29,0.9666666666666667,2.0,30.0,30,0,0.0,1,1
1139694484325753018,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Oud-Oost,2,1.0,0.0,1.0,111.0,1,365,False,False,1,0,0,0.0,0.0,5590,0,0.0,1.0,365.0,0,0.0,1.0,365.0,30,9,0.3,1,0
1139836407024061528,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Westerpark,2,1.0,0.0,1.0,172.0,3,14,False,False,1,3,3,269.3333333333333,332.0,227,2,0.02197802197802198,3.0,14.0,0,0.0,3.0,14.0,30,7,0.23333333333333334,1,1
1139846922939615794,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Zuid,2,1.0,,1.0,,7,30,False,False,1,1,1,247.0,247.0,450,2,0.02197802197802198,6.879120879120879,30.0,0,0.0,7.0,30.0,30,0,0.0,1,1
1139849006955139403,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Oud-Oost,4,1.0,,1.0,,3,30,False,False,1,7,7,222.85714285714286,325.0,342,2,0.02197802197802198,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,1
1139865779353629228,2025-12-10,v1_student,Entire home/apt,Entire condo,Westerpark,2,1.0,1.0,1.0,342.0,3,30,False,True,1,14,14,385.5,804.0,161,1,0.01098901098901099,3.0,30.0,0,0.0,3.0,30.0,30,9,0.3,1,1
1139889737070727020,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-West,4,1.0,0.0,1.0,385.0,2,365,False,False,1,8,8,267.625,694.0,227,85,0.9340659340659341,2.0,365.0,30,1.0,2.0,365.0,30,30,1.0,0,1
1139910022413214205,2025-12-10,v1_student,Entire home/apt,Entire condo,Westerpark,2,1.0,1.0,1.0,248.0,3,365,False,False,1,1,1,543.0,543.0,571,0,0.0,3.0,365.0,0,0.0,3.0,365.0,30,0,0.0,1,1
1139928113133916002,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,,1.0,,3,365,False,False,1,0,0,0.0,0.0,5590,4,0.04395604395604396,4.934065934065934,365.0,0,0.0,5.0,365.0,30,0,0.0,1,0
1140368926490294458,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Bos en Lommer,2,1.0,,1.0,,3,14,False,False,1,4,4,122.75,220.0,488,0,0.0,3.0,14.0,0,0.0,3.0,14.0,30,0,0.0,1,1
1140386080505522341,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,4,2.0,,1.0,,3,15,True,False,1,8,8,354.875,896.0,234,0,0.0,3.0,15.0,0,0.0,3.0,15.0,30,0,0.0,1,1
1140426985810642265,2025-12-10,v1_student,Entire home/apt,Entire condo,Westerpark,4,2.0,3.0,1.5,410.0,2,4,False,False,1,11,11,196.0909090909091,477.0,171,13,0.14285714285714285,2.0,4.0,6,0.2,2.0,4.0,30,11,0.36666666666666664,0,1
1140472495154888795,2025-12-10,v1_student,Private room,Private room in rental unit,Zuid,2,1.0,0.0,1.0,175.0,1,365,False,False,1,15,15,261.6666666666667,865.0,108,7,0.07692307692307693,1.0,365.0,0,0.0,1.0,365.0,30,0,0.0,1,1
1140490326042473592,2025-12-10,v1_student,Private room,Room in hotel,Centrum-Oost,6,1.0,,1.5,,1,365,True,False,5,46,46,120.15217391304348,862.0,90,47,0.5164835164835165,1.0,1000.0,20,0.6666666666666666,1.0,1000.0,30,0,0.0,1,1
1140511591010878235,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Centrum-West,2,1.0,1.0,1.0,140.0,1,1125,True,False,35,21,21,198.85714285714286,428.0,119,73,0.8021978021978022,1.7472527472527473,294.61538461538464,30,1.0,2.0,47.0,30,29,0.9666666666666667,0,1
1140518732038208820,2025-12-10,v1_student,Private room,Private room in bed and breakfast,Centrum-West,4,2.0,2.0,2.0,533.0,2,365,True,True,3,10,10,367.5,1012.0,138,57,0.6263736263736264,2.0,1125.0,28,0.9333333333333333,2.0,1125.0,30,26,0.8666666666666667,0,1
1140648865006694329,2025-12-10,v1_student,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,2,1.0,1.0,1.0,285.0,2,365,False,False,1,4,4,205.25,332.0,125,80,0.8791208791208791,3.0,365.0,29,0.9666666666666667,3.0,365.0,30,0,0.0,1,1
1140655934618680185,2025-12-10,v1_student,Entire home/apt,Entire loft,Oostelijk Havengebied - Indische Buurt,4,4.0,4.0,2.0,536.0,5,14,False,False,1,2,2,438.0,463.0,469,0,0.0,5.0,14.0,0,0.0,5.0,14.0,30,9,0.3,1,1
1140657126491736971,2025-12-10,v1_student,Entire home/apt,Entire condo,De Pijp - Rivierenbuurt,2,1.0,,1.0,,2,7,False,False,1,10,10,222.9,326.0,220,1,0.01098901098901099,2.0,7.0,0,0.0,2.0,7.0,30,0,0.0,1,1
